listing_id,id,date,reviewer_id,reviewer_name,comments
11508,161313616,17/06/2017,18060466,Sonia,"I love this place.<br/>The internet works well, which is extremely important for me because I work from the apartment where I run my business.<br/>The apartment is spacious, in a nice part of Palermo. I LOVE the exterior wall windows so I always have a view of outside. And the view from the gym on the top floor is spectacular.<br/>The apartment is as shown in the pictures, and Candela is always helpful whenever I need anything.  "
11508,176721657,31/07/2017,18060466,Sonia,"Repeat business is the best compliment you can give. I stayed in Candela's apartment, and then promptly booked it again for a longer stay.<br/>And I wholeheartedly look forward to booking it a 3rd time for an extended stay.<br/>The apartment is wonderful. The building g is great. And Candela is a fabulous host.<br/>It was a wonderful experience all around."
11508,223024248,31/12/2017,24103270,Andres,"Another amazing semester at this fantastic apartment. Great location, easy/close to public transportation and outdoor green spaces. Great amenities and Candela has always been the best hostess, prompt to respond and always helpful. Highly recommended!"
11508,350805289,20/11/2018,18060466,Sonia,"I loved my time at this apartment. This was my secret and stay and i loved it so much the last time, i was delighted to come back.<br/>It felt like home. The apartment, the building, the staff - everyone was wonderful and I was thankful to be in this space for almost a full year on this trip.<br/>Candela is a fantastic host, she communicated well with me, and went above and beyond to make sure I had everything I needed for an enjoyable stay.<br/>I can't recommend this space enough. <br/>The location and views are tough to beat!"
11508,456408908,21/05/2019,10537553,Stefan,Great place and hospitality!
11508,480832554,03/07/2019,236926321,David,Had a great stay at Candela's place. Candela and Marcelo were very accommodating during my stay - would recommend!
11508,508837379,13/08/2019,274084323,Alejandro,"El lugar muy bien ubicado, el edificio seguro, el gimnasio tiene una vista impresionante! Candela y Marcelo muy atentos. Pase excelente. Muy recomendado."
11508,570061732,28/11/2019,21737013,David,"Fantastic apartment, perfect location, pool and gym are a huge bonus too!"
11508,744915464,03/04/2021,51909904,Bridgette,"I LOVED this apartment. It has so much natural light with really modern features and nice furniture. The building is really nice with an amazing gym and a nice pool. The location is absolutely perfect, right by Plaza Italia and not too far from the park. The shops, restaurants and bars in Soho are within 10 minutes walking, and Hollywood is not too far either. This place felt like a home 100%. Can't recommend it enough!"
11508,6.57201E+17,25/06/2022,228000258,Priscilla,"Gostaria de agradecer muito a atenção e o cuidado que Candela e Marcelo tiveram conosco, sempre muito prestativos e atenciosos. O local é ótimo, muito bem localizado, o apartamento também é excelente, com ar condicionado e calefação em nenhum momento passamos frio ou calor, a banheira é uma delícia. A única coisa não perfeita são as cortinas da sala translúcidas que não bloqueiam todo sol, tirando esse detalhe todo resto foi perfeito! Obrigada, Candela e Marcelo! Foi inesquecível!"
11508,6.7163E+17,15/07/2022,295034427,Santiago,Increíble departamento e increíble atención de Candela.
11508,6.73096E+17,17/07/2022,197606164,Juliana,Candela es muy amable y la comunicación y atención fue excelente. El departamento es bello y está ubicado en una excelente zona.
11508,7.71714E+17,30/11/2022,11758912,Anna,"We loved Candela’s apartment! It was perfect for a 2 week stay in Buenos Aires. Awesome location, and nice to have a gym and pool access. The host was very proactive in checking us in and helping us get settled for our stay. The building is nice and close to many restaurants and parks. Would stay again!"
11508,7.7895E+17,10/12/2022,9274771,Toni,"Candela y Marcelo fueron muy amables, atentos, flexibles y cumplidores en absolutamente todo. Sin duda intentaremos repetir cuando volvamos a alojarnos en Buenos Aires!"
11508,7.85449E+17,19/12/2022,119482261,Or,Candela and her staff were are great and nice they were responsive and flexible. The apartment was clean and just like the photos. Great building with a pool and really good location. I would definitely come back. Thanks for a great stay.
11508,8.12233E+17,25/01/2023,6685569,Nathan,"Great stay- the apartment itself is clean, modern and secure. There is 24/7 security and it's in a great neighborhood. <br/>Also, located near everything you need- grocery stores, a gym, and restaurants. A quick walk to the area that is full of bars and restaurants but two of my favorite restaurants in BA are within two blocks (La Carniceria and Las Pizarras)<br/>What really made the stay great were the apartment managers. Whatever you needed they were so helpful.<br/> I would definitely stay here again."
11508,8.38396E+17,02/03/2023,5840162,Mike,Gorgeous apartment and amazing location! Staff was super friendly and the weekly cleaning service was great! Would definitely stay again!
11508,8.90529E+17,13/05/2023,20777995,Steven,"Just finished a great 2.5 month stay at Candela's apartment in Palermo Soho. So happy we stayed here, as others have mentioned it feels like home as soon as you walk in. Candela was always very responsive along with the management team in the building. The apartment itself is very comfortable, plus having 24 hour security, an outdoor pool and a gym on the 31st floor with views over the city was amazing. The area is perfect being only a short walk to restaurants, bars, shops and parks. Look forward to staying again on the next trip to Buenos Aires!"
11508,1.0218E+18,10/11/2023,188575333,Sarah,"Candela’s place was great for a short term stay! Her communication was top notch. The location is good, about 10-15 minutes walk away from the cafes, restaurant and bars. Good Wi-Fi. Would have preferred that the couch faced the tv but at the end of the day not a big deal! Nice host and staff."
11508,1.03041E+18,22/11/2023,57821260,Joshua,Best place in Palermo SoHo!
11508,1.03629E+18,30/11/2023,9186629,Antonio,"This was a great place in a great location! Carmela was super helpful with a small wifi issue I had which was solved within minutes. Great building, would stay here again!"
11508,1.10583E+18,05/03/2024,384852144,Richard,"I stayed for 80 nights.  I would highlight these benefits/amenities...  Great Location - safe and walkable to whatever you need.  Great host - Candela or the building staff are available when you need them.  Clean apartment - No clutter and housekeeping comes to clean and change the linens/towels weekly.   Nice modern building on guarded property - Great gym, nice pool, laundry facilities available.<br/>I would absolutely be happy to stay at Candela's apartment again in the future.   If I get back to Buenos Aires then I will certainly check the availability of Candela's apartment.   For me it was a wonderful stay."
11508,1.14066E+18,22/04/2024,22918169,Ricky,"I had a great time at Candela's apartment. The hosts are very responsive and accommodating. The place has everything you need for an extended stay. There is a gym on one of the top floors with a fantastic view of the city and a reasonably large pool downstairs. The apartment is very safe, and the location is hard to beat. <br/>There are plenty of shops, restaurants, and bars within walking distance. You are only 2-3 blocks from the Santa Fe Subte station, plus plenty of buses, taxis, and Ubers are available in the area. If I return to Buenos Aires, I will certainly stay here again."
11508,1.21095E+18,28/07/2024,349656593,Maria Daniela,"El lugar de Candela es hermoso. Caminamos siempre a restaurantes, parques y bares ya que está muy bien ubicado. El internet funcionó de maravilla para tomar nuestras juntas y trabajar en línea. Sin duda me volvería a quedar aquí si regreso a Buenos Aires. Candela siempre estuvo muy al pendiente de nuestra estadía y nos ayudó mucho que fuera flexible con el check out! Muchas gracias por todo! Un viaje increíble"
11508,1.32259E+18,29/12/2024,164355491,Nicholas,"Excellent stay, great host and very accommodating."
11508,1.34283E+18,26/01/2025,89687634,Benjamin,"We had a wonderful stay at Candela's place. The apartment and amenities were just as described, and everyone we interacted with was excellent. Although we encountered a few issues, there was always someone available just a text away to help us resolve them. The addition of the weekly cleaning service was a bonus, and the amenities made it great value overall. Thank you very much!"
14222,1676096,10/07/2012,2444925,Adrian,"Happy House was an amazing experience ! The apartment is well located in Palermo, super cosy and nice !
<br/>And Manuel is the nicest person that you can meet in Buenos Aires for sure, he was always ready to help us, give us some advice !
<br/>
<br/>Happy House is THE place to stay for sure!"
84033,15366209,07/07/2014,9489071,Calum,"We stayed in Maria's apartment for 5 nights which is well located in the lovely area of Palermo. The apartment was a good size, the kitchen was useful and well equipped, the shower was great, as was the wifi. Luciana was there to greet us - she was really nice, showed us around and was very helpful. The apartment is close to restaurants, bars, cafes and only a few blocks from the nearest metro station. There are also lots of nice parks nearby for running and cycling. Would highly recommend to anyone going to BA."
84033,16858132,03/08/2014,18169647,Justin Donghyug,"The neighborhood was great in the middle of Palermo. The apartment was in decent condition.  You need to buy dish detergent, toilet paper and toiletries.  Please double check how many towels are given and if they have any stains. Maria emailed me after ckeckout saying she would charge me $40USD for the small towel that wasn't even given to me. I checked one of the most upscale department stores, Gallarias. Small towels were priced between $8 to $12 US. I asked why she wanted to charge me $40 and she said it is the price for the whole set. I said I wasn't even given the small towel and she later said it was the big towel that had stains. I said to her that I could buy a brand new towel then she didn't need to charge $40 and she lowered the price to $25. As I knew it was still overpriced, I asked her what was wrong with replacing the towel.  She replied I could do that after I left Buenos Aires.
<br/>
<br/>I wouldn't stay there again.  If I ever do,  I would count numbers of spoons, forks, pillows, etc. That..."
84033,18010734,20/08/2014,11456628,Stephanie,"Luciana was awesome! Our flight was cancelled so we checked in much later than our agreed upon time by Luciana was very flexible. The building is very modern and safe. The neighborhood is very trendy lots of great restaurants, boutiques and wineries. It's also within a short walking distance to the subway and other amenities. The apartment was very clean and felt very homey. The terrace is a great place to sip some malbec, even in winter! "
84033,18801347,01/09/2014,13417273,Pablo,"Excellent experience, the apartment is in a top location. Also it is in top conditions and very well equipped . Thanks to our host."
84033,19155366,07/09/2014,1208507,Richard,"Very nice apartment in the absolute perfect location to explore the amazing food and drinks of Buenos Aires. I fully recommend this place, with the only negative being that the building management goes a little nuts with very strong ""floral"" air freshener in the hallways every morning. "
